id,user_id,ui_color,enable_autoplay,default_sort_type,created_at,updated_at,high_contrast_mode
2,2,#7c3aed,t,recent,2025-03-13 11:21:17.418336,2025-03-13 11:21:17.418336,f
1,1,#10B981,t,recent,2025-03-13 05:51:18.117648,2025-03-21 13:15:58.344,f
